,name,green_rating
146,25 DEGREES,1
100,1947 TAVERN,1
444,98 AROMA,2
116,201 CENTRAL,2
410,80TH AND IVY,1
655,ACADIA RESTAURANT,1
253,43 NORTH,1
888,AJBANI MOROCCAN CUISINE,2
928,AKI MATSURI FESTIVAL,2
876,AJ'S FINE FOOD - DC RANCH,2
650,ACACIA,1
453,@ DAWN,2
654,ACADEMY TAVERN,2
676,ACES BAR & GRILL,2
110,2 GALS KITCHEN,2
963,AL HAMRA,1
417,87 WEST 2,1
854,AIR CANADA MAPLE LEAF LOUNGE,1
737,ADMIRALS CLUB,1
943,AKRAM'S SHOPPE,2
892,AJI SAI,1
919,AKAI SUSHI,2
894,AJI SAI PLUS RESTO LOUNGE,1
21,100 PERCENT KOREAN,1
923,AKASAKA JAPANESE RESTAURANT,1
592,ABACUS INN CHINESE RESTAURANT,1
426,8TH AVE PIZZA,1
552,A&W RESTAURANT,2
722,ADDICTION RESTAURANT,1
58,16-BIT BAR+ARCADE,1
226,3PM CAFE,2
686,ACORN PITTSBURGH,1
336,6 FLAVORS,2
891,AJI PICANTE,2
933,AKIRA BACK,1
96,1915 LAN ZHOU RAMEN,1
5,&COMPANY RESTO BAR,1
66,17 SOUTH BOOZE & BITES,2
78,1815 TAVERN,2
977,AL PREMIUM FOOD MART,2
816,AH SIN,1
27,1001 NIGHTS HOOKAH & RESTAURANT,2
667,ACE DONUTS,1
819,AH-SO,1
885,AJ'S URBAN GRILL,2
318,5801 VIDEO LOUNGE AND CAFÉ,1
832,AHWATUKEE COUNTRY CLUB,2
49,1410 WORLD BIER HAUS,1
796,AGINCOURT BAKERY,1
192,301 MONGOLIA,1
156,2ND AND HIGH POKE HOUSE + BAR,2
165,3 BROTHERS PIZZA,1
710,ADAMAH NEIGHBORHOOD TABLE,2
72,18 ASIAN AND SUSHI BAR,1
404,808 ISLAND CRAVES,2
81,1855 SALOON AND GRILL,1
993,AL'S DONUTS,1
724,ADDIS ABABA RESTAURANT,2
780,AFTER QUEEN TEA SHOP,1
585,AACHI SOUTH INDIAN KITCHEN,2
821,AH-SO TEPPANYAKI & SUSHI HOUSE OF JAPAN,1
572,A18 I LOVE CRAB & KARAOKE,1
59,1600 WORLD BIER HAUS,2
201,32 DEGREES DRAFT BAR,1
519,A TASTE OF BUFFALO,1
99,1923 BOURBON BAR,1
351,7 DIM SUM,2
375,747 WINE BAR,2
567,A.J. ROCCO'S,2
946,AKROPOLIS CAFE AT ARBORETUM,1
398,8.2.0 PIZZERIA & BAR,1
591,ABACUS INN,1
