,name,green_rating
162,3 AMIGOS TACO EXPRESS,1
171,3 GUYS PIZZA PIES,1
173,3 KINGS HOOKAH LOUNGE,1
154,2K FUSION,2
902,AJM KENSINGTON MEATS,1
176,3 MINOTS,1
185,3 STEPS UP,2
538,A WARD'S CHEESECAKES,2
188,3 TRADE FOOD & WINE,1
195,306 LOUNGE,2
199,32 CHICKEN ST.,1
544,A YIDDISHE MAME,1
887,AJAX LIQUOR STORE,2
206,34 EASY ST,2
657,ACAPPELLA,1
207,341 PIZZA,1
216,360 SEAHOOD,1
546,A&K SHAWARMA,2
130,22 CHURCH STEAK HOUSE,1
224,3:30 TEATIME BUBBLE,1
238,4 SONS CHEVRON,1
83,188 RESTAURANT,1
243,40 NORTHH,1
105,"2 ""DI"" 4 GOURMET KARMEL KORN",1
863,AIRPORT PIZZA,2
862,AIRPORT GRILL,1
860,AIRPORT GATE CAFE & GRILL,1
672,ACE'S MAIN TAP,1
938,AKKI BISTRO,1
528,A TASTE OF SILK BBQ,2
980,AL RAMZAN GROCERS,2
972,AL OMDA,1
706,ADAM'S LOUNGE,1
33,101 VAPOR AND CIGAR SHOP,1
381,786 HALAL BIRYANI HOUSE,1
350,7 BAKER,1
607,ABC COUNTRY RESTAURANT,1
600,ABBIOCCO,1
587,AAHARA FOODS,2
754,AEOSHI CAFE,1
52,155 FAHRENHEIT,1
783,AFTERS,1
782,AFTERNOON TEA,1
380,76,1
305,521 CAFE & BAR,2
991,AL'S COURT LOUNGE & DELI,2
990,AL'S CONE ZONE,1
604,ABC BAKERY & CAFE,1
762,AFGHAN CHATKHARA RESTAURANT,1
369,702 KARAOKE,1
43,123 BULGOGI,1
764,AFGHAN KABOB CUISINE,1
985,AL'DEEWAN HALAL MANAKEESH BAKERY & PIZZA,1
772,AFRICAN DELIGHT CAFE AND RESTAURANT,2
771,AFRICAN & AMERICAN STORE,1
769,AFGHAN KITCHEN,1
35,11 SCALINI,1
705,ADAM'S HALAL PUB,1
55,15°FAHRENHEIT ROLLED ICECREAM,1
717,ADANA SHAWARMA & GRILL,1
57,16 KIDS DELI,2
312,55 DEGREES,1
814,AGUILA'S HIDAWAY,1
576,AA HAWAIIAN BBQ,1
76,180G,1
412,82ND STREET GRILL AND PUB,1
388,7TH ST SPORTS BAR,1
309,5300 BOULEVARD,2
817,AH SO,1
462,A & W DRIVE-IN RESTAURANT,1
330,5TH AVENUE PUB,1
468,A BEVERAGE STORE,1
2,#1 PHO,1
400,802 BEAN COMPANY,2
996,AL'S FISH & CHICKEN,2
334,5TH STREET ARCADES,1
308,52ND STREET TAP & GRILL,1
799,AGLIO E OLIO,2
612,ABC STORE OF MECKLENBURG COUNTY,1
617,ABDEEN INTERNATIONAL MARKET AND CAFE LLC,2
589,AARON & MOSES,1
413,83 & CHESTNUT PUB AND EATERY,2
17,1 PLUS 2 PIZZA & WINGS,0
926,AKEMI,0
138,24/7,0
602,ABBOTT'S FROZEN CUSTARD,0
163,3 BRASSEURS,0
639,ABSOLUTE CAFÉ,0
542,A WORTHY DOG,0
155,2M PIZZA,0
151,26TH STREET MARKET AND CAFE,0
161,3 AMIGOS CANTINA GRILL,0
958,AL DENTE PIZZERIA,0
38,12 EAST CAFE,0
101,19TH AVE LIGHTRAIL STOP,0
85,1888 BBQ,0
962,AL FORNO PIZZA,0
68,17 STEPS RESTAURANT AND BAR,0
965,AL LAGO RISTORANTE,0
967,AL MADINA HALAL MEAT,0
91,1902 TAVERN,0
968,AL MANAR FOOD & MARKET,0
556,A'PROPOS CAFÉ,0
609,ABC HK RESTAURANT,0
95,1909 TAVERNE MODERNE,0
554,A'MEI KITCHEN,0
582,AAA DONAIR & JAMAICAN CUISINE,0
603,ABBY'S GRILL-CAFE,0
553,A&W RESTAURANTS,0
940,AKO DRIVE IN LIQUORS,0
978,AL QUDS,0
48,1360 WEST GRILL,0
629,ABOVE & BEYOND CATERING,0
936,AKITA,0
108,2 COCHONS,0
548,A&S CACTUS EXPRESS,0
547,A&P CHINESE FOOD EXPRESS,0
633,ABRUZZI'S,0
634,ABRUZZO,0
956,AL DAR RESTAURANT,0
501,A PIZZA 555,0
167,3 CHILES MEXICAN FOOD,0
702,AD'S PCAFE,0
352,7 ELEVEN,0
786,AG MACARONS,0
348,6IXTRIANGLES,0
458,A & J'S GRILL,0
345,68 DEGREES SABOR,0
344,6500 TAVERN,0
461,A & S MARKET,0
798,AGIT BILLIARDS & INTERNET CAFE,0
701,AD'S BUFFALO WINGS & PIZZA,0
357,7 SEAS RESTAURANT & GRILL,0
699,ACUA,0
321,5AM CAFÉ,0
808,AGRA SWEETS & TANDOORI,0
464,A A WOK,0
696,ACROSS THE POND,0
695,ACROPOLIS PASTRIES & PIES,0
469,A BIT OF HOME,0
306,5280 MEXICAN GRUB,0
711,ADAMARY'S RESTAURANTE Y PUPUSERIA,0
455,A & A INTERNATIONAL FOOD,0
169,3 EGGS ALL DAY PUB & GRILL,0
434,90 SECOND PIZZERIA,0
744,ADORE II,0
402,808,0
734,ADIA'S DONAIR,0
389,7TH STREET HOTSPOT CAFÉ AND MARKET,0
422,88=EIGHTEIGHT KOREAN CUISINE,0
423,8F ICE CREAM & CREPE,0
753,AEGEAN GRILL,0
424,8ONO8 MUSUBI,0
758,AFC AJUKER CANADA,0
359,7 SENSES,0
443,977 CAFE,0
447,99 CENT SUSHI,0
768,AFGHAN KING KEBAB,0
364,7-ELEVEN BAR,0
775,AFRICANA BBQ CURRIES DRINKS,0
776,AFRICANA EATERY & CHEERS PUB,0
361,7 STAR THAI CUISINE,0
360,7 SKEWERS,0
301,51ST AVE CAFE,0
823,AHI POKE,0
295,50'S ON ADAMS,0
889,AJI ICHIBAN,0
664,ACE BAR,0
231,3RD ST SUSHI & BAR,0
229,3RD BASE BAR & GRILL,0
228,3RD AVENUE GRILL,0
503,A PLACE FOR US,0
878,AJ'S FLORAL BOUTIQUE,0
212,35TH AVE HOOKAH & BILLIARDS,0
205,33RD ANNUAL CLEVELAND IRISH CULTURAL FESTIVAL,0
514,A SWEET MORSEL,0
293,50'S DINER,0
193,303 FUSION KITCHEN,0
190,30 SOUS ZÉRO,0
897,AJIA COMPTOIR ASIATIQUE,0
178,3 PALMS MARKET,0
903,AJMIR HALAL PIZZA & WINGS,0
523,A TASTE OF HEAVEN CAFE AND BAKERY,0
172,3 KINGS CAFE & SHISHA LOUNGE,0
170,3 FOR 2 PIZZA AND WINGS,0
233,4 GIRLS ROTI SHOP,0
665,ACE CANTON KITCHEN,0
420,88 VIETNAMESE RESTAURANT,0
867,AISHWARYA GARDEN,0
685,ACORES ROTISSERIE CHICKEN,0
481,A L'EXPRESS GOURMAND,0
278,5 GUYS  BURGERS & FRIES,0
838,AIDA'S PINE VALLEY BAKERY,0
270,4UATRO ROTISSERIE,0
264,4TH CORNER BAKEHOUSE AND COFFEE CO,0
263,4TH AVENUE LOUNGE,0
844,AIG GROCERY & DESSERTS,0
680,ACKEE TREE DYNAMITE JAMAICAN JERK,0
259,4B CAFE,0
258,4AM BAR & LOUNGE,0
855,AIR FRANCE - KLM LOUNGE,0
488,A LA MODA BAKERY,0
859,AIRPORT CELL PHONE LOT 2,0
861,AIRPORT GATE STEAK AND GRILL,0
671,ACE VENDING,0
495,A MANO ITALIAN EATERY,0
337,605 ON YONGE,0
