,business_id,categories,name,review_count,stars,address,city,state,postal_code,latitude,longitude,Name,Address,City,State,Zip,rating
899,jIyD5h_zVynrFx-yAko7Mg,"RESTAURANTS, FAST FOOD",MCDONALD'S,3,2.5,5600 E INDEPENDENCE BLVD,CHARLOTTE,NC,28212,35.183471999999995,-80.756938,MCDONALD'S,,,,,1
900,vGLl5xum2u2Qf8_AvzSenw,"COFFEE & TEA, BURGERS, FOOD, RESTAURANTS, FAST FOOD",MCDONALD'S,80,2.0,8480 FARM RD,LAS VEGAS,NV,89131,36.301952,-115.281397,MCDONALD'S,,,,,1
901,5qlcAQ3GrTkY8oOsPGQRWQ,"RESTAURANTS, BURGERS, FAST FOOD",MCDONALD'S,20,2.0,4808 YONGE STREET,TORONTO,ON,M2N 5M9,43.7618326,-79.41131740000002,MCDONALD'S,,,,,1
902,SNWlgY-hTUr6h2kEee6gCA,"BURGERS, RESTAURANTS, FAST FOOD",MCDONALD'S,37,1.5,710 KING STREET WEST,TORONTO,ON,M5V 2Y6,43.6440653,-79.4033608,MCDONALD'S,,,,,1
903,2lmM-jzCA4rOWuvo2fKBPQ,"BURGERS, FOOD, RESTAURANTS, FAST FOOD, COFFEE & TEA",MCDONALD'S,8,2.0,2911 S 99TH AVE,PHOENIX,AZ,85353,33.4199517999,-112.2719360097,MCDONALD'S,,,,,1
904,0_ETdGuqk5e2FKFYeYQJVQ,"FAST FOOD, RESTAURANTS, FOOD, BURGERS, COFFEE & TEA",MCDONALD'S,26,1.5,5925 WEDDINGTON RD,WESLEY CHAPEL,NC,28104,35.00152,-80.7005413,MCDONALD'S,,,,,1
905,I5Xxk3yWjCJdJb74iWFZzg,"RESTAURANTS, FAST FOOD, COFFEE & TEA, BURGERS, FOOD",MCDONALD'S,18,1.0,2427 W THOMAS RD,PHOENIX,AZ,85015,33.4800878777,-112.1108664648,MCDONALD'S,,,,,1
906,9cYYusmNE0qdfT7pqfdc5w,"BURGERS, FAST FOOD, COFFEE & TEA, FOOD, RESTAURANTS",MCDONALD'S,16,2.0,1532 N 51ST AVE,PHOENIX,AZ,85043,33.4652293354,-112.1696979506,MCDONALD'S,,,,,1
907,hjQJsJdr8R0rBtm0s1SaYg,"FAST FOOD, RESTAURANTS, BURGERS",MCDONALD'S,17,2.0,9301 YONGE STREET,RICHMOND HILL,ON,L4C 1V4,43.854209143599995,-79.43264520390001,MCDONALD'S,,,,,1
908,PP9ZfC_JUufbrPRPHD7FJQ,"RESTAURANTS, FOOD, BURGERS, FAST FOOD, COFFEE & TEA",MCDONALD'S,33,2.5,1601 E GLENDALE,PHOENIX,AZ,85020,33.538007635599996,-112.0471661492,MCDONALD'S,,,,,1
909,m-KkjBgtiRhtXA10_jwh2Q,"BURGERS, COFFEE & TEA, FOOD, RESTAURANTS, FAST FOOD",MCDONALD'S,42,1.5,1205 S RURAL RD,TEMPE,AZ,85280,33.4157852,-111.9259083,MCDONALD'S,,,,,1
910,3vZ8ECJuiEZIuDv7OQ2NHw,"RESTAURANTS, FAST FOOD",MCDONALD'S,5,2.0,11580 EUCLID AVE,CLEVELAND,OH,44106,41.5093411,-81.60412600000002,MCDONALD'S,,,,,1
911,k8PmUlLzZQSTb2lxE1AlzA,"RESTAURANTS, FOOD, FAST FOOD, COFFEE & TEA, BURGERS",MCDONALD'S,17,2.0,5845 W BELL RD,GLENDALE,AZ,85306,33.636452500000004,-112.1849372,MCDONALD'S,,,,,1
912,RIs9S5ZiXBSTyjt6P2Yshw,"RESTAURANTS, FAST FOOD, FOOD, BURGERS, COFFEE & TEA",MCDONALD'S,4,1.0,10710 LORAIN AVE,CLEVELAND,OH,44111,41.464900053,-81.76096268,MCDONALD'S,,,,,1
913,TPcDS5qMbroEdTX_glnT4g,"RESTAURANTS, AMERICAN (TRADITIONAL), COFFEE & TEA, FOOD, BURGERS, FAST FOOD",MCDONALD'S,4,2.0,4618 E ROYALTON RD,BROADVIEW HEIGHTS,OH,44147,41.314485,-81.653635,MCDONALD'S,,,,,1
914,7TMcUzNqnUV5Bfwni800HQ,"RESTAURANTS, BURGERS, HOT DOGS, FOOD, FAST FOOD, COFFEE & TEA",MCDONALD'S,5,1.5,115 LOGANS FERRY RD,LOWER BURRELL,PA,15068,40.5518704511,-79.756955,MCDONALD'S,,,,,1
915,W39f_7mEdphd-wzGwgPxow,"BURGERS, COFFEE & TEA, RESTAURANTS, FOOD, FAST FOOD",MCDONALD'S,10,3.5,5867 WOOSTER PIKE,MEDINA,OH,44256,41.1140571429,-81.8635256588,MCDONALD'S,,,,,1
916,O7TQNbqjkW1sthAMUKhqsA,"BURGERS, FAST FOOD, RESTAURANTS",MCDONALD'S,3,1.0,1212 37 ST SW,CALGARY,AB,T3C 1S3,51.041035,-114.1396043,MCDONALD'S,,,,,1
917,Q_PtrRkE4yIyJywEOk2KdA,"FAST FOOD, BURGERS, RESTAURANTS",MCDONALD'S,3,2.5,11670 HURONTARIO STREET,BRAMPTON,ON,L7A 1R2,43.7304566,-79.8213976,MCDONALD'S,,,,,1
918,FecWyJGnrIk5AYrR7C67xg,"FOOD, COFFEE & TEA, FAST FOOD, RESTAURANTS, BURGERS",MCDONALD'S,21,2.0,3155 E INDIAN SCHOOL RD,PHOENIX,AZ,85016,33.4949573,-112.0133108,MCDONALD'S,,,,,1
919,_imnJaX4EG_BaoXMCyxFig,"FAST FOOD, COFFEE & TEA, BURGERS, RESTAURANTS, FOOD",MCDONALD'S,45,1.5,6005 S CENTRAL AVE,PHOENIX,AZ,85040,33.3919383,-112.072761,MCDONALD'S,,,,,1
920,z7h3_K5lg3RnYieq04C0Vg,"FOOD, FAST FOOD, COFFEE & TEA, BURGERS, RESTAURANTS",MCDONALD'S,7,1.0,5240 TURNEY RD,GARFIELD HEIGHTS,OH,44125,41.419052859699995,-81.6081219,MCDONALD'S,,,,,1
921,l0-d7zbmkwvQ6YaUhFBE-w,"BURGERS, COFFEE & TEA, FAST FOOD, FOOD, RESTAURANTS",MCDONALD'S,72,2.0,65 S VALLE VERDE DR,HENDERSON,NV,89012,36.025029,-115.063049,MCDONALD'S,,,,,1
922,orGCyrtYZl9JOV5XIgxJEg,"COFFEE & TEA, FAST FOOD, FOOD, RESTAURANTS, BURGERS",MCDONALD'S,41,1.5,3434 W UNION HLS,PHOENIX,AZ,85027,33.6550719714,-112.1335029602,MCDONALD'S,,,,,1
923,W1pj7OeYz5oF42vACSoxmA,"FAST FOOD, BURGERS, RESTAURANTS",MCDONALD'S,13,2.5,7630 MARKHAM ROAD,MARKHAM,ON,L3S 3K1,43.8515636,-79.2550868,MCDONALD'S,,,,,1
924,hKeUxD6hmx2gtW5TYXp1cQ,"RESTAURANTS, FAST FOOD, BURGERS",MCDONALD'S,8,2.0,"2810 MAJOR MACKENZIE DRIVE, BUILDING C",MAPLE,ON,L6A 1S2,43.8506424494,-79.5345820593,MCDONALD'S,,,,,1
925,EQIT5u3x0TX_hFGi8C_fpA,"COFFEE & TEA, FOOD, RESTAURANTS, FAST FOOD, BURGERS",MCDONALD'S,22,2.0,6700 KEE LN,HARRISBURG,NC,28075,35.3229451964,-80.64592011270001,MCDONALD'S,,,,,1
926,2Z3F0G9UXDsX0fRU9BDoqA,"RESTAURANTS, FAST FOOD, BURGERS",MCDONALD'S,7,1.5,2116 KIPLING AVENUE,REXDALE,ON,M9W 4K5,43.717628427799994,-79.5701175928,MCDONALD'S,,,,,1
927,m4UZS7G8-Hq2KTxOrNZ1DQ,"COFFEE & TEA, FAST FOOD, BURGERS, FOOD, RESTAURANTS",MCDONALD'S,35,1.5,3315 PINEVILLE MATTHEWS RD,CHARLOTTE,NC,28226,35.097899,-80.783424,MCDONALD'S,,,,,1
928,CObgcxFJuEXZZpm4Mw3z1A,"BURGERS, COFFEE & TEA, RESTAURANTS, FAST FOOD, FOOD",MCDONALD'S,30,2.0,1605 S NEIL,CHAMPAIGN,IL,61820,40.0975206791,-88.24523902959999,MCDONALD'S,,,,,1
929,Cp7JVPbO5Vv_huCBxLtXWQ,"FAST FOOD, FOOD, BURGERS, COFFEE & TEA, RESTAURANTS",MCDONALD'S,27,1.5,2447 E BELL RD,PHOENIX,AZ,85032,33.6400750223,-112.0289347973,MCDONALD'S,,,,,1
930,Y-vxPbvPKcaLiYa9ZBXoDg,"BURGERS, FAST FOOD, COFFEE & TEA, RESTAURANTS, HOT DOGS, FOOD",MCDONALD'S,18,1.5,505 SMITHFIELD ST,PITTSBURGH,PA,15219,40.4404086,-79.9986599,MCDONALD'S,,,,,1
931,gy81yASRfM5R_3QsDecATw,"RESTAURANTS, BURGERS, FAST FOOD",MCDONALD'S,17,2.0,9989 BAYVIEW AVENUE,RICHMOND HILL,ON,L4C 9W4,43.8754336,-79.4146051,MCDONALD'S,,,,,1
932,J1gvlBxU7_YqgYDHTQIgbA,"BURGERS, COFFEE & TEA, RESTAURANTS, FAST FOOD, FOOD",MCDONALD'S,17,2.5,625 E BASELINE RD,TEMPE,AZ,85283,33.3777862048,-111.93140689280001,MCDONALD'S,,,,,1
933,0b5joPhf_UjX_uCQsO6JNg,"FAST FOOD, FOOD, BURGERS, COFFEE & TEA, RESTAURANTS",MCDONALD'S,5,2.0,1010 E BROAD ST,ELYRIA,OH,44035,41.3647547,-82.0774496,MCDONALD'S,,,,,1
